Epoch,Loss_train
760,"(0.09319277107715607,)"
761,"(0.09314363449811935,)"
762,"(0.09309441596269608,)"
763,"(0.09304510056972504,)"
764,"(0.09299573302268982,)"
765,"(0.09294635057449341,)"
766,"(0.09289684146642685,)"
767,"(0.0928473025560379,)"
768,"(0.09279768913984299,)"
769,"(0.09274796396493912,)"
770,"(0.09269819408655167,)"
771,"(0.09264835715293884,)"
772,"(0.092598557472229,)"
773,"(0.092548668384552,)"
774,"(0.09249871969223022,)"
775,"(0.09244869649410248,)"
776,"(0.09239859879016876,)"
777,"(0.09234857559204102,)"
778,"(0.09229844808578491,)"
779,"(0.09224837273359299,)"
780,"(0.09219825267791748,)"
781,"(0.09214818477630615,)"
782,"(0.09209800511598587,)"
783,"(0.09204775094985962,)"
784,"(0.09199751913547516,)"
785,"(0.09194722026586533,)"
786,"(0.09189669042825699,)"
787,"(0.0918462872505188,)"
788,"(0.09179554879665375,)"
789,"(0.09174484014511108,)"
790,"(0.09169403463602066,)"
791,"(0.09164321422576904,)"
792,"(0.09159230440855026,)"
793,"(0.09154112637042999,)"
794,"(0.09148964285850525,)"
795,"(0.09143801033496857,)"
796,"(0.09138620644807816,)"
797,"(0.09133440256118774,)"
798,"(0.09128233045339584,)"
799,"(0.09123002737760544,)"
800,"(0.09117750078439713,)"
801,"(0.09112481772899628,)"
802,"(0.09107233583927155,)"
803,"(0.09101949632167816,)"
804,"(0.09096647053956985,)"
805,"(0.09091363847255707,)"
806,"(0.09086079150438309,)"
807,"(0.0908077210187912,)"
808,"(0.09075496345758438,)"
809,"(0.09070202708244324,)"
810,"(0.09064938127994537,)"
811,"(0.0905967652797699,)"
812,"(0.09054432809352875,)"
813,"(0.09049177914857864,)"
814,"(0.0904390960931778,)"
815,"(0.09038639813661575,)"
816,"(0.0903337225317955,)"
817,"(0.09028114378452301,)"
818,"(0.0902286171913147,)"
819,"(0.09017617255449295,)"
820,"(0.09012367576360703,)"
821,"(0.0900711789727211,)"
822,"(0.09001850336790085,)"
823,"(0.0899658277630806,)"
824,"(0.08991331607103348,)"
825,"(0.08986085653305054,)"
826,"(0.08980818837881088,)"
827,"(0.08975546807050705,)"
828,"(0.08970267325639725,)"
829,"(0.089649997651577,)"
830,"(0.08959728479385376,)"
831,"(0.08954453468322754,)"
832,"(0.08949186652898788,)"
833,"(0.0894392803311348,)"
834,"(0.08938673138618469,)"
835,"(0.08933418244123459,)"
836,"(0.0892818495631218,)"
837,"(0.08922959119081497,)"
838,"(0.08917733281850815,)"
839,"(0.08912516385316849,)"
840,"(0.08907299488782883,)"
841,"(0.08902085572481155,)"
842,"(0.0889689177274704,)"
843,"(0.08891694247722626,)"
844,"(0.0888647809624672,)"
845,"(0.08881267160177231,)"
846,"(0.08876046538352966,)"
847,"(0.08870816230773926,)"
848,"(0.0886559933423996,)"
849,"(0.08860380947589874,)"
850,"(0.08855155110359192,)"
851,"(0.08849935233592987,)"
852,"(0.08844715356826782,)"
853,"(0.0883951261639595,)"
854,"(0.0883430689573288,)"
855,"(0.0882909893989563,)"
856,"(0.08823874592781067,)"
857,"(0.08818653225898743,)"
858,"(0.08813456445932388,)"
859,"(0.0880824625492096,)"
860,"(0.08803041279315948,)"
861,"(0.08797843009233475,)"
862,"(0.0879264771938324,)"
863,"(0.08787436038255692,)"
864,"(0.08782240003347397,)"
865,"(0.08777057379484177,)"
866,"(0.08771875500679016,)"
867,"(0.08766689151525497,)"
868,"(0.08761513978242874,)"
869,"(0.08756344765424728,)"
870,"(0.08751174062490463,)"
871,"(0.08746002614498138,)"
